step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
10,10.0,3.0,0.01950585175552666,0,15.0,0
20,20.0,14.0,0.1235370611183355,0,95.0,4
30,30.0,18.0,0.25097529258777634,0,193.0,5
40,40.0,19.0,0.3250975292587776,0,250.0,5
50,50.0,39.0,0.6605981794538361,0,508.0,11
60,60.0,44.0,0.7503250975292588,0,577.0,13
70,70.0,54.0,1.2639791937581275,0,972.0,16
80,80.0,28.0,0.5825747724317295,2,448.0,8
90,90.0,54.0,1.0377113133940181,0,798.0,16
100,100.0,78.0,1.7009102730819246,0,1308.0,23
110,110.0,66.0,1.0143042912873863,1,780.0,19
120,120.0,93.0,1.5903771131339401,0,1223.0,27
130,130.0,111.0,1.9375812743823146,0,1490.0,33
140,140.0,140.0,2.410923276983095,0,1854.0,42
150,150.0,86.0,1.6046814044213265,0,1234.0,25
160,160.0,95.0,1.5565669700910274,0,1197.0,28
170,170.0,156.0,2.918075422626788,0,2244.0,46
180,180.0,170.0,3.858257477243173,0,2967.0,51
190,190.0,202.0,4.998699609882965,1,3844.0,60
200,200.0,196.0,5.11963589076723,2,3937.0,58
210,210.0,154.0,3.5591677503250976,0,2737.0,46
220,220.0,138.0,2.6501950585175553,2,2038.0,41
230,230.0,130.0,2.717815344603381,1,2090.0,39
240,240.0,165.0,3.1898569570871262,1,2453.0,49
250,250.0,194.0,3.8634590377113134,1,2971.0,58
260,260.0,236.0,4.983094928478543,1,3832.0,70
270,270.0,283.0,6.923276983094929,0,5324.0,84
280,280.0,310.0,8.46553966189857,0,6510.0,93
290,290.0,273.0,7.556566970091027,1,5811.0,81
300,300.0,264.0,8.123537061118336,1,6247.0,79
310,310.0,190.0,5.193758127438231,0,3994.0,57
320,320.0,124.0,2.5591677503250976,2,1968.0,37
330,330.0,187.0,4.314694408322497,1,3318.0,56
340,340.0,207.0,5.301690507152146,0,4077.0,62
350,350.0,263.0,5.836150845253576,1,4488.0,78
360,360.0,285.0,6.9596879063719115,0,5352.0,85
370,370.0,257.0,7.387516254876463,6,5681.0,77
380,380.0,255.0,7.062418725617685,1,5431.0,76
390,390.0,265.0,8.201560468140443,2,6307.0,79
400,400.0,239.0,6.140442132639792,2,4722.0,71
410,410.0,266.0,8.01300390117035,1,6162.0,79
420,420.0,239.0,6.760728218465539,2,5199.0,71
430,430.0,227.0,5.586475942782835,3,4296.0,68
